Index Name,Category,NSE
NIFTY TRANSPORTATION &amp; LOGISTICS,EQUITY,NIFTY TRANSPORTATION &amp; LOGISTICS
NIFTY100 ALPHA 30,EQUITY,NIFTY100 ALPHA 30
NIFTY100 ENHANCED ESG,EQUITY,NIFTY100 ENHANCED ESG
NIFTY100 EQUAL WEIGHT,EQUITY,NIFTY100 EQUAL WEIGHT
NIFTY100 ESG,EQUITY,NIFTY100 ESG
NIFTY100 ESG SECTOR LEADERS,EQUITY,NIFTY100 ESG SECTOR LEADERS
NIFTY100 LIQUID 15,EQUITY,NIFTY100 LIQUID 15
NIFTY100 LOW VOLATILITY 30,EQUITY,NIFTY100 LOW VOLATILITY 30
NIFTY100 QUALITY 30,EQUITY,NIFTY100 QUALITY 30
NIFTY200 ALPHA 30,EQUITY,NIFTY200 ALPHA 30
NIFTY200 MOMENTUM 30,EQUITY,NIFTY200 MOMENTUM 30
NIFTY200 QUALITY 30,EQUITY,NIFTY200 QUALITY 30
NIFTY200 VALUE 30,EQUITY,NIFTY200 VALUE 30
NIFTY50 DIVIDEND POINTS,EQUITY,NIFTY50 DIVIDEND POINTS
NIFTY50 EQUAL WEIGHT,EQUITY,NIFTY50 EQUAL WEIGHT
NIFTY50 PR 1X INVERSE,EQUITY,NIFTY50 PR 1X INVERSE
NIFTY50 PR 2X LEVERAGE,EQUITY,NIFTY50 PR 2X LEVERAGE
NIFTY50 SHARIAH,EQUITY,NIFTY50 SHARIAH
NIFTY50 TR 1X INVERSE,EQUITY,NIFTY50 TR 1X INVERSE
NIFTY50 TR 2X LEVERAGE,EQUITY,NIFTY50 TR 2X LEVERAGE
NIFTY50 USD,EQUITY,NIFTY50 USD
NIFTY50 VALUE 20,EQUITY,NIFTY50 VALUE 20
NIFTY500 EQUAL WEIGHT,EQUITY,NIFTY500 EQUAL WEIGHT
NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,EQUITY,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED
NIFTY500 MOMENTUM 50,EQUITY,NIFTY500 MOMENTUM 50
NIFTY500 MULTICAP 50:25:25,EQUITY,NIFTY500 MULTICAP 50:25:25
NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,EQUITY,NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20
NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,EQUITY,NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20
NIFTY500 SHARIAH,EQUITY,NIFTY500 SHARIAH
NIFTY500 VALUE 50,EQUITY,NIFTY500 VALUE 50
